Time,SoC
1.72805e+09,38.9
1.72805e+09,30.5
1.72805e+09,1.7
1.72805e+09,48.3
1.72805e+09,6
1.72805e+09,2.9
1.72805e+09,2.7
1.72805e+09,2.8
1.72805e+09,2.8
1.72806e+09,-13.2
1.72806e+09,2.9
1.72806e+09,31.3
1.72806e+09,6.7
1.72806e+09,2
1.72806e+09,14.4
1.72806e+09,2.3
1.72808e+09,15.5
1.72808e+09,4
1.72808e+09,0.2
1.72808e+09,-4.5
1.72808e+09,5.6
1.72808e+09,3
1.72808e+09,3.3
1.72808e+09,-27.1
1.72808e+09,-55.9
1.72808e+09,45.7
1.72808e+09,3
1.72808e+09,2.8
1.72808e+09,2.8
1.72808e+09,3
1.72808e+09,2.9
1.72809e+09,72.1
1.72809e+09,2.3
1.72809e+09,3.3
1.72809e+09,2.4
1.72809e+09,2.7
1.72809e+09,2.3
1.72809e+09,2.3
1.72809e+09,2.4
1.72809e+09,2.3
1.72809e+09,-11.5
1.7281e+09,4.5
1.7281e+09,2.3
1.7281e+09,-38.3
1.7281e+09,2.2
1.7281e+09,2.1
1.7281e+09,2.2
1.7281e+09,2.7
1.7281e+09,-29.1
1.7281e+09,26.9
1.7281e+09,2.2
1.7281e+09,2.3
1.7281e+09,2.2
1.7281e+09,4.5
1.7281e+09,-33.7
1.7281e+09,2.3
1.7281e+09,-11.2
1.7281e+09,2.1
1.7281e+09,2.3
1.7281e+09,30.4
1.7281e+09,8.3
1.7281e+09,-16
1.7281e+09,2.7
1.7281e+09,40.2
1.7281e+09,27
1.7281e+09,39.3
1.7281e+09,109.8
1.7281e+09,1.1
1.72811e+09,25
1.72811e+09,4.3
1.72811e+09,73
1.72811e+09,17.3
1.72814e+09,3.3
1.72814e+09,17.4
1.72814e+09,-6.8
1.72814e+09,20.2
1.72814e+09,14
1.72814e+09,26.8
1.72814e+09,54.7
1.72814e+09,18.7
1.72814e+09,-17.3
1.72814e+09,15.5
1.72814e+09,-9.9
1.72814e+09,25.5
1.72814e+09,58.4
1.72814e+09,-12.7
1.72814e+09,14.8
1.72815e+09,26.1
1.72815e+09,3.7
1.72816e+09,5.7
1.72816e+09,3.7
1.72816e+09,59.6
1.72816e+09,55.2
1.72816e+09,26.7
1.72816e+09,5.2
1.72816e+09,31.6
1.72816e+09,23.3
1.72816e+09,4.6
1.72816e+09,16.2
1.72816e+09,81.2
1.72816e+09,20.3
1.72816e+09,3.9
1.72816e+09,-11.7
1.72816e+09,-17.9
1.72816e+09,18.5
1.72816e+09,0.1
1.72816e+09,3.9
1.72816e+09,3.9
1.72816e+09,-34.7
1.72816e+09,-0.2
1.72816e+09,3.6
1.72816e+09,3.4
1.72816e+09,-7.6
1.72816e+09,2.4
1.72816e+09,30.3
1.72816e+09,13.4
1.72816e+09,25.2
1.72816e+09,25.2
1.72816e+09,14.7
1.72816e+09,82.8
1.72817e+09,1.3
1.72817e+09,-35.4
1.72817e+09,28.2
1.72817e+09,-166.9
1.72817e+09,196.6
1.72817e+09,-18.7
1.72817e+09,68.3
1.72817e+09,6.5
1.72817e+09,1.4
1.72817e+09,172.3
1.72817e+09,-114.3
1.72817e+09,-67.9
1.72817e+09,4.3
1.72817e+09,4.1
1.72817e+09,4.2
1.72817e+09,89.5
1.72817e+09,0
1.72817e+09,0
1.72817e+09,163.5
1.72817e+09,10.7
1.72817e+09,8.5
1.72817e+09,9.3
1.72817e+09,6.9
1.72817e+09,6.1
1.72817e+09,8.1
1.72818e+09,34.2
1.72818e+09,9.6
1.72818e+09,14.2
1.72818e+09,52.1
1.72818e+09,39.4
1.72818e+09,35.3
1.72818e+09,5.4
1.72818e+09,11.4
1.72818e+09,3.2
1.72818e+09,6.7
1.72818e+09,3
1.72819e+09,-4.5
1.72819e+09,5.5
1.72819e+09,56.1
1.72819e+09,1.5
1.72819e+09,51.1
1.72819e+09,-1.3
1.72819e+09,153
1.72819e+09,-20.5
1.72819e+09,30.8
1.72819e+09,30.8
1.72819e+09,-36.9
1.72819e+09,-37.5
1.72819e+09,3.3
1.7282e+09,3.5
1.7282e+09,3.1
1.7282e+09,2.5
1.7282e+09,-25.5
1.7282e+09,20.3
1.7282e+09,1.8
1.72821e+09,30
1.72821e+09,31.5
1.72821e+09,1.8
1.72821e+09,57.5
1.72821e+09,50.9
1.72821e+09,1.7
1.72821e+09,2.2
1.72821e+09,2.5
1.72821e+09,-8.4
1.72821e+09,16.7
1.72823e+09,-12.1
