,time,soc,curr,volt
3287,25:09.4,72,-47.8,349.3
3288,25:27.6,72,49.3,345.9
3289,25:35.1,72,-38.3,349.9
3290,25:42.5,72,-42.3,349.6
3291,25:50.5,72,48,345.4
3292,25:58.0,72,-35.7,350.1
3293,26:05.6,72,32.7,346.7
3294,26:13.1,72,36.4,346.3
3295,26:20.6,72,-26.5,349.9
3296,26:28.3,72,-19.2,349.7
3297,26:36.1,72,2.3,348.8
3298,26:43.6,72,2.3,348.7
3299,26:51.1,72,2.3,348.7
3300,26:58.6,72,41,346.5
3301,27:06.1,72,44.3,345.9
3302,27:13.6,72,-12.9,349.1
3303,27:21.2,72,-0.5,349
3304,27:28.6,72,2.6,348.6
3305,27:36.1,72,47.1,346.2
3306,27:43.6,72,2.6,348.2
3307,27:51.2,72,2.7,348.3
3308,27:58.7,72,6.8,347.9
3309,28:06.8,72,5.9,348.2
3310,28:14.9,72,0.1,348.6
3311,28:22.3,72,3.3,348.5
3312,28:29.8,72,2.6,348.5
3313,28:37.5,72,2.7,348.5
3314,28:45.4,72,2.6,348.5
3315,28:53.3,72,2.5,348.6
3316,29:01.0,72,2.4,348.6
3317,29:09.2,72,2.5,348.6
3318,29:16.9,72,2.4,348.6
3319,29:24.6,72,2.6,348.6
3320,29:32.4,72,2.7,348.6
3321,29:40.4,72,2.6,348.6
3322,29:47.9,72,2.5,348.6
3323,29:55.6,72,4.7,348.5
3324,30:03.4,72,2.4,348.6
3325,30:11.2,72,2.5,348.6
3326,30:19.0,72,2.5,348.6
3327,30:26.4,72,2.7,348.6
3328,30:34.2,71.5,11.2,348.1
3329,30:41.9,71.5,4,348.5
3330,30:50.2,71.5,2.7,348.6
3331,30:58.2,71.5,2.4,348.6
3332,31:06.2,71.5,2.4,348.6
3333,31:14.0,71.5,2.4,348.6
3334,31:21.5,71.5,2.4,348.6
3335,31:29.2,71.5,2.4,348.6
3336,31:37.2,71.5,5.1,348.5
3337,31:45.0,71.5,2.7,348.6
3338,31:52.7,71.5,2.6,348.6
3339,32:00.6,71.5,2.5,348.6
3340,32:08.0,71.5,2.5,348.6
3341,32:16.3,71.5,2.4,348.6
3342,32:24.1,71.5,2.5,348.6
3343,32:31.8,71.5,2.7,348.6
3344,32:39.6,71.5,2.7,348.6
3345,32:47.0,71.5,2.6,348.6
3346,32:55.3,71.5,2.7,348.6
3347,33:03.1,71.5,3.8,348.5
3348,33:11.1,71.5,2.4,348.6
3349,33:18.8,71.5,2.5,348.6
3350,33:30.3,71.5,2.6,348.6
3351,33:38.4,71.5,2.7,348.6
3352,33:46.6,71.5,2.7,348.6
3353,33:54.1,71.5,2.6,348.6
3354,34:01.6,71.5,2.5,348.6
3355,34:10.2,71.5,2.4,348.6
3356,34:17.7,71.5,2.4,348.6
3357,34:25.2,71.5,2.4,348.6
3358,34:32.9,71.5,2.4,348.6
3359,34:40.7,71.5,2.5,348.6
3360,34:48.4,71.5,2.6,348.6
3361,34:56.4,71.5,2.7,348.6
3362,35:04.2,71.5,2.7,348.6
3363,35:11.9,71.5,2.5,348.6
3364,35:19.8,71.5,2.4,348.6
3365,35:27.2,71.5,2.3,348.5
3366,35:35.0,71.5,2.4,348.6
3367,35:42.7,71.5,2.5,348.6
3368,35:51.0,71.5,2.6,348.5
3369,35:59.6,71.5,2.6,348.5
3370,36:07.4,71.5,2.6,348.5
3371,36:15.5,71.5,5.5,348.3
3372,36:23.8,71.5,2.3,348.5
3373,36:32.0,71.5,2.4,348.5
3374,36:39.8,71.5,2.3,348.5
3375,36:47.5,71.5,2.4,348.5
3376,36:55.4,71.5,2.5,348.5
3377,37:03.4,71.5,2.6,348.5
3378,37:11.4,71.5,2.6,348.5
3379,37:19.4,71.5,2.5,348.5
3380,37:27.4,71.5,2.7,348.5
3381,37:35.4,71.5,2.6,348.5
3382,37:43.4,71.5,35.4,346.6
3383,37:51.6,71.5,2.4,348.4
3384,37:59.6,71.5,-3.1,348.5
3385,38:07.6,71.5,3.1,348.4
3386,38:15.5,71.5,16.2,347.5
3387,38:23.1,71.5,4.2,348.2
3388,38:31.2,71.5,2.7,348.3
3389,38:39.0,71.5,2.8,348.3
3390,38:46.6,71.5,2.7,348.3
3391,38:54.4,71.5,2.6,348.3
3392,39:02.4,71.5,2.6,348.3
3393,39:10.0,71.5,2.6,348.3
3394,39:17.4,71.5,2.5,348.3
3395,39:32.1,71.5,2.7,348.3
3396,39:39.5,71.5,2.7,348.3
3397,39:47.5,71.5,2.7,348.3
3398,39:55.5,71.5,32.1,346.7
3399,40:05.4,71.5,42.3,345.9
3400,40:13.0,71.5,-20.4,349
3401,40:21.0,71.5,2.7,348.2
3402,40:29.2,71.5,2.7,348.1
3403,40:37.0,71.5,2.7,348.1
3404,40:45.2,71.5,2.7,348.2
3405,40:53.3,71.5,2.7,348.2
3406,41:01.5,71.5,2.6,348.2
3407,41:09.2,71.5,2.5,348.2
3408,41:18.2,71.5,42,345.8
3409,41:52.8,71,15.3,346.2
3410,41:53.4,71,15.3,346.2
3411,41:53.4,71,15.3,346.2
3412,41:53.4,71,15.3,346.2
3413,42:04.5,71,2.9,348
3414,42:12.1,71,2.5,347.9
3415,42:19.6,71,5.4,347.7
3416,42:27.0,71,12.6,347.1
3417,42:34.5,71,12.8,347.2
3418,42:42.1,71,-1.1,348.2
3419,42:49.6,71,2.7,347.9
3420,42:57.1,71,2.7,347.9
3421,43:04.6,71,2.8,347.9
3422,43:12.1,71,2.7,347.9
3423,43:19.6,71,2.8,347.9
3424,43:27.3,71,2.7,347.9
3425,43:35.3,71,2.6,347.9
3426,43:43.3,71,2.6,348
3427,43:51.6,71,2.7,348
3428,43:59.2,71,2.6,348
3429,44:06.9,71,2.7,348
3430,44:15.1,71,13.6,347.4
3431,44:23.2,71,21,346.8
3432,44:31.9,71,-32.6,349.4
3433,44:39.2,71,2.6,348
3434,44:46.8,71,2.6,347.9
3435,44:54.5,71,50.6,345
3436,45:02.2,71,3.2,347.3
3437,45:09.7,71,-6.3,348.2
3438,45:17.3,71,2.7,347.8
3439,45:24.8,71,13.8,347.3
3440,45:32.2,71,49.9,344.4
3441,45:39.7,71,32.7,345.1
3442,45:47.2,71,-35.1,348.3
3443,45:54.9,71,-30.2,349.2
3444,46:07.2,71,11.9,346.9
3445,46:07.7,71,11.9,346.9
3446,46:14.8,71,-10.9,348.1
3447,46:22.3,71,-13.5,348.2
3448,46:29.8,71,16.8,346.7
3449,46:45.0,71,2.9,347.2
3450,46:58.7,70.5,20.7,346.2
3451,47:12.8,70.5,26.7,345.7
3452,47:26.8,70.5,5.8,346.5
3453,47:40.5,70.5,2.4,346.6
3454,47:54.8,70.5,-8.3,347.3
3455,48:08.6,70.5,-4.8,347.1
3456,48:22.5,70.5,4.5,346.6
3457,48:36.0,70.5,3.6,346.7
3458,13:19.3,70.5,0,348.1
3459,13:33.5,70.5,2.8,347.9
3460,13:47.3,70.5,4.1,347.7
3461,14:01.3,70.5,3.5,347.7
3462,14:15.5,70.5,3.7,347.6
3463,14:29.2,70.5,3.7,347.6
3464,14:43.4,70.5,3.3,347.6
3465,14:57.2,70.5,3.6,347.5
3466,15:11.5,70.5,3.4,347.5
3467,15:26.6,70.5,3.7,347.4
3468,15:43.2,70.5,2.4,347.4
3469,16:00.9,70.5,11.8,346.9
3470,16:02.1,70.5,11.8,346.9
3471,16:15.5,70.5,-16.6,348.4
3472,16:30.7,70.5,-8.4,348
3473,16:44.6,70.5,2.2,347.4
3474,16:58.7,70.5,3,347.3
3475,17:12.4,70.5,1.2,347.5
3476,17:26.5,70,41.9,345.4
3477,17:40.6,70,37.8,345.4
3478,17:54.9,70,-8.2,347.7
3479,18:08.9,70,2.6,347.2
3480,18:24.2,70,-4.4,347.5
3481,18:38.1,70,33.2,345.5
3482,18:52.0,70,91.5,341.5
3483,19:05.5,70,22.8,345.7
3484,19:19.2,70,1.5,347.1
3485,19:28.2,70,28.3,345.6
3486,19:36.0,70,40,344.2
3487,19:44.5,70,-7,347.4
3488,19:52.2,70,130.7,338.7
3489,19:59.9,70,6.2,345
3490,20:07.4,70,13.9,344.9
3491,20:14.9,70,19,344.7
3492,20:22.7,69.5,11,344.7
3493,20:30.4,69.5,18.8,344.4
3494,20:38.0,69.5,-8.8,345.8
3495,20:46.3,69.5,31,344.2
3496,20:59.3,69.5,5.3,345
3497,21:07.7,69.5,47.9,342.5
3498,21:15.0,69.5,1.2,345.1
3499,21:22.7,69.5,65.7,341.9
3500,21:30.5,69.5,-34.7,347.4
3501,21:38.1,69.5,-12.4,346.9
3502,21:47.2,69.5,1.5,346.1
3503,21:54.5,69.5,1,346.1
3504,22:02.1,69.5,3.2,346
3505,22:09.6,69.5,2.9,346.1
3506,22:17.1,69.5,2.2,346.1
3507,22:24.5,69.5,0.9,346.2
3508,22:32.1,69.5,80.8,341.4
3509,22:39.6,69.5,16.4,344.1
3510,22:48.0,69.5,85,340.7
3511,22:55.8,69.5,-86.7,349.4
3512,23:08.0,69,27.1,343.2
3513,23:15.8,69,-28.4,345.8
3514,23:23.6,69,-28.1,347.1
3515,23:31.3,69,2.4,345.5
3516,23:39.4,69,1.8,345.3
3517,23:47.3,69,2.6,345.4
3518,23:55.3,69,66.1,341.8
3519,24:03.3,69,-4.4,345.5
3520,24:11.3,69,22,343.8
3521,24:19.6,69,121.5,337.9
3522,24:27.2,69,15.5,343.3
3523,24:34.7,69,72.4,340.2
3524,24:42.6,68.5,77.6,338.9
3525,24:51.0,68.5,4.3,342.5
3526,24:59.0,68.5,33.7,341.5
3527,25:08.2,68.5,27.7,341.9
3528,25:15.7,68.5,37.3,341.1
3529,25:23.2,68.5,38.1,341
3530,25:30.8,68.5,29.9,341
3531,25:38.3,68.5,30,341.5
3532,25:51.1,68,21.3,341.6
3533,25:51.2,68,21.3,341.6
3534,25:59.4,68,49.9,340.3
3535,26:06.8,68,35.5,340.6
3536,26:14.3,68,70.1,339
3537,26:22.0,68,31.1,340.3
3538,26:29.8,68,41.8,339.6
3539,26:37.3,68,-6.5,342.3
3540,26:44.9,68,56.7,339.2
3541,26:54.5,67.5,-6.5,342.4
3542,27:02.4,67.5,33.4,340
3543,27:10.0,67.5,34.6,340.4
3544,27:17.6,67.5,-55.4,344.7
3545,27:24.8,67.5,11.3,341.7
3546,27:32.4,67.5,46.9,340
3547,27:40.1,67.5,49.9,339.5
3548,27:47.9,67.5,-88.4,345.9
3549,27:55.4,67.5,13.8,342
3550,28:02.9,67.5,-46.5,345.1
3551,28:10.9,67,23.2,340.2
3552,28:18.6,67,42.6,339.3
3553,28:28.3,67,51.6,338.7
3554,28:36.0,67,5.4,341.9
3555,28:50.8,67,7.9,341.1
3556,28:50.8,67,7.9,341.1
3557,28:55.5,67,53.8,338.8
3558,29:03.0,67,-29.1,343.2
3559,29:11.2,67,21.8,340.5
3560,29:18.9,67,21.8,340.5
3561,29:21.1,67,-7.1,342.1
3562,29:30.5,67,27.2,340.5
3563,29:38.5,67,39.4,339.4
3564,29:47.2,67,32.5,339.9
3565,29:55.5,67,32.5,339.9
3566,29:57.2,66.5,10.4,340.8
3567,30:05.3,66.5,14.2,340.7
3568,30:13.2,66.5,29.9,339.5
3569,30:20.5,66.5,35.4,339.1
3570,30:28.0,66.5,5.8,340.8
3571,30:36.5,66.5,20.4,340
3572,30:41.1,66.5,20.4,340
3573,30:47.6,66.5,94.4,335.5
3574,30:55.1,66,46.5,338.3
3575,31:02.6,66,1.8,340.8
3576,31:10.2,66,11.8,340.1
3577,31:19.0,66,67.6,336.9
3578,31:26.8,66,-1.8,340.5
3579,31:34.6,66,53,337.9
3580,31:42.2,66,41.4,339
3581,31:49.7,66,-12.4,341
3582,31:57.2,66,-26.3,341.8
3583,32:04.7,66,24.9,338.8
3584,32:13.7,65.5,69,336.9
3585,32:21.2,65.5,-13.6,341.1
3586,32:28.7,65.5,40.1,338.4
3587,32:36.2,65.5,-62.2,343.5
3588,32:44.2,65.5,7.5,340
3589,32:51.7,65.5,-19.4,341.4
3590,32:59.2,65.5,9.5,339.7
3591,33:07.0,65.5,26.3,339.2
3592,33:14.2,65.5,13.4,339.5
3593,33:21.7,65.5,30.9,338.7
3594,33:29.3,65.5,42.4,338
3595,33:34.8,65.5,42.4,338
3596,33:49.2,65.5,48.6,337.6
3597,33:49.2,65.5,48.6,337.6
3598,33:54.1,65,23.5,338.9
3599,34:01.5,65,-11.7,340.7
3600,34:10.9,65,31.7,339.5
3601,34:18.7,65,4.4,339.7
3602,34:26.3,65,16,339.1
3603,34:33.8,65,67.2,337
3604,34:41.4,65,-9.6,340.1
3605,34:49.5,65,-64.4,342.4
3606,35:00.0,65,-45.6,342.1
3607,35:07.6,65,13.5,339.2
3608,35:15.6,65,49.3,337
3609,35:23.4,64.5,5.3,339.1
3610,35:30.8,64.5,44.2,337.6
3611,35:38.4,64.5,7.4,339
3612,35:50.3,64.5,94.2,333.6
3613,35:51.3,64.5,94.2,333.6
3614,36:04.0,64.5,35.2,337.3
3615,36:11.5,64.5,-12.7,340.8
3616,36:19.0,64.5,26.6,338.8
3617,36:27.0,64.5,-95.6,345.2
3618,36:35.0,64.5,56.4,337.7
3619,36:49.1,64.5,25.3,340.1
3620,37:01.9,64.5,115.5,333.2
3621,37:09.5,64.5,-22.2,340.6
3622,37:17.0,64.5,-16.4,341.8
3623,37:24.5,64.5,3.8,340.5
3624,37:32.0,64.5,2.2,340.5
3625,37:39.5,64.5,2.2,340.5
3626,37:47.0,64.5,2.1,340.5
3627,37:54.6,64.5,4.7,340.4
3628,38:02.1,64.5,2.2,340.5
3629,38:09.6,64.5,2.1,340.5
3630,38:17.0,64.5,2.5,340.5
3631,38:24.5,64.5,6.8,340.1
3632,38:32.0,64.5,114.5,334.8
3633,38:39.6,64,5.1,339.3
3634,38:47.3,64,36.8,337.2
3635,38:55.2,64,3.5,338.5
3636,39:02.7,64,-5.6,339.6
3637,39:10.2,64,-41.2,342.4
3638,39:17.7,64,2.1,340.2
3639,39:25.2,64,2,340.1
3640,39:33.3,64,2.1,340.1
3641,39:41.4,64,1,340.2
3642,39:48.8,64,1.5,340.3
3643,39:56.2,64,2.2,340.2
3644,40:04.2,64,2.8,340.2
3645,40:12.3,64,0.9,340.3
3646,40:20.3,64,24.7,339.1
3647,40:28.2,64,1.6,340.2
3648,40:35.9,64,4.4,340
3649,40:43.2,64,-8.2,340.8
3650,40:50.7,64,3.8,339.8
3651,40:58.5,64,9.5,339.9
3652,41:06.2,64,6.8,339.9
3653,41:13.7,64,1.6,340.2
3654,41:21.4,64,5.4,340
3655,41:29.3,64,2.7,340.1
3656,41:36.8,64,4.2,340
3657,41:44.4,64,-15.1,340.9
3658,41:52.0,64,3.2,340
3659,41:59.9,64,3.3,340.1
3660,42:07.6,64,19.1,339.1
3661,42:15.6,64,-31.4,341.5
3662,42:23.4,64,30.7,338.4
3663,42:31.1,63.5,-22.1,340.7
3664,42:39.8,64,-13.9,340.9
3665,42:47.3,63.5,15.8,338.8
3666,42:55.3,63.5,20.5,338.9
3667,43:03.6,63.5,-59.4,342.9
3668,43:18.7,63.5,58.1,336.9
3669,43:18.7,63.5,58.1,336.9
3670,43:23.6,63.5,30.6,338
3671,43:31.6,63.5,-52.6,342.4
3672,43:38.8,63.5,2.8,339.6
3673,43:46.5,63.5,2.9,339.4
3674,43:54.3,63.5,-26,340.2
3675,44:03.2,63.5,-14.2,339.5
3676,44:10.9,63.5,-16.8,340.6
3677,44:18.4,63.5,-64,342.7
3678,44:26.0,63.5,-1.5,339.8
3679,44:33.4,63.5,3.7,339.5
3680,44:41.4,63.5,6,339.4
3681,44:50.5,63.5,4.7,339.4
3682,44:58.2,63.5,14.3,338.8
3683,45:11.6,63.5,-21,340.8
3684,45:25.6,63.5,-3.3,340.3
3685,45:39.8,63.5,16.4,339.3
3686,45:53.7,63.5,5.7,339.5
3687,46:07.6,63.5,4.3,339.6
3688,46:21.9,63.5,3.9,339.7
3689,18:23.8,63.5,2.7,339.9
3690,18:51.6,63.5,4.6,339.8
3691,19:05.6,63.5,4.9,339.6
3692,19:19.7,63.5,5,339.6
3693,19:33.8,63.5,6.1,339.4
3694,19:47.5,63,7.9,339.2
3695,20:01.3,63,6.2,339.3
3696,20:15.2,63,5,339.3
3697,20:29.2,63,4.6,339.3
3698,20:43.3,63,4.9,339.2
3699,20:57.4,63,4.7,339.2
3700,21:11.2,63,15.8,338.6
3701,21:27.8,63,30.8,337.5
3702,21:45.6,63,27.5,337.3
3703,21:46.9,63,27.5,337.3
3704,22:00.4,63,6,338.5
3705,22:15.5,63,4.6,338.6
3706,22:29.4,63,45,336.5
3707,22:43.8,62.5,18.7,337.3
3708,22:57.6,62.5,-25.6,340.1
3709,23:11.6,62.5,3.8,338.6
3710,23:25.3,62.5,39.1,336.8
3711,23:39.2,62.5,75.4,334.7
3712,23:52.8,62.5,-2.6,338.8
3713,24:07.1,62.5,3.5,338.6
3714,24:22.8,62.5,66.4,335.1
3715,24:36.7,62.5,29.5,336.6
3716,24:50.8,62.5,-8.3,338.8
3717,25:05.1,62.5,11,338.1
3718,25:19.2,62.5,-49.5,340.9
3719,25:33.0,62.5,-36.6,340.1
3720,25:47.0,62,43.1,336.4
3721,26:01.0,62,-2,337.9
3722,26:15.1,62,-6.9,339
3723,26:29.2,62,3.4,338.2
3724,26:43.0,62,4.7,338.2
3725,26:56.7,62,22.1,336.7
3726,27:11.1,62,-30.4,339.3
3727,27:26.0,62,-20.8,339.4
3728,27:40.8,62,3.4,338.1
3729,27:56.2,62,3.2,338.1
3730,28:11.6,62,3.3,338.1
3731,28:27.6,62,3.4,338.1
3732,28:41.8,62,-13.7,338.5
3733,28:56.2,61.5,23.3,336.3
3734,29:10.2,61.5,29.3,335.9
3735,29:25.0,61.5,-5.4,338.4
3736,29:40.2,61.5,-68.5,341.4
3737,29:53.7,61.5,1.2,338.1
3738,30:07.3,61.5,3.3,337.9
3739,30:21.5,61.5,3.2,337.8
3740,30:35.3,61.5,3.1,337.9
3741,30:49.2,61.5,3.3,337.8
3742,31:04.1,61.5,3.1,337.8
3743,31:18.0,61.5,2.8,337.3
3744,31:32.5,61.5,11.9,337.5
3745,31:46.3,61.5,2.1,337
3746,32:03.1,61.5,36.4,335.5
3747,32:21.3,61.5,1.4,337.8
3748,32:35.1,61.5,21.6,336.7
3749,32:49.0,61,16.3,337
3750,33:03.2,61,5.3,337.3
3751,33:17.6,61,5.4,337.3
3752,33:31.5,61,-0.7,337.7
3753,33:45.6,61,2.7,337.5
3754,34:01.0,61,3.5,337.4
3755,34:14.8,61,1,337.4
3756,34:28.8,61,1.8,337.4
3757,34:44.2,61,2.9,337.4
3758,34:58.9,61,-13,338
3759,35:12.4,61,2.2,337.3
3760,35:27.2,61,17.8,336.5
3761,35:41.3,61,0.6,337.3
3762,35:55.1,61,3.1,337.2
3763,36:09.8,61,2.1,337.2
3764,36:23.7,61,4.1,337.1
3765,36:37.8,61,16.4,336.5
3766,36:51.7,61,-7,337.7
3767,37:05.9,61,9.6,336.8
3768,37:19.8,61,-3.3,337.5
3769,37:33.9,61,-9.6,337.8
3770,37:48.0,61,3.8,337.1
3771,38:01.7,60.5,2.9,337.2
3772,38:15.8,60.5,3.2,337.2
3773,38:29.8,60.5,3,337.2
3774,38:44.1,60.5,2.9,337.2
3775,38:58.0,60.5,2.6,337.2
3776,39:12.0,60.5,2.9,337.2
3777,39:25.8,60.5,15.2,336.6
3778,39:40.0,60.5,87.4,332.6
3779,39:58.4,60.5,13.3,336.1
3780,39:59.0,60.5,13.3,336.1
3781,40:13.6,60.5,2.9,336.4
3782,40:27.5,60.5,-22.3,338.1
3783,40:41.5,60.5,2.9,337.1
3784,40:55.6,60.5,21.5,335.8
3785,41:09.6,60.5,37.5,334.8
3786,41:24.8,60.5,12.1,336.5
3787,41:38.4,60,3.6,336.5
3788,41:52.2,60,29.8,335.3
3789,42:06.1,60,-17.9,337.8
3790,42:26.5,60,-8.2,337.4
3791,42:26.6,60,-8.2,337.4
3792,42:31.6,60,5.5,336.6
3793,42:46.5,60,7.3,336.5
3794,43:05.3,60,-4.9,337.1
3795,43:05.7,60,-4.9,337.1
3796,43:20.2,60,9.5,336.4
3797,43:35.1,60,1.1,336.7
3798,43:48.4,60,5.3,336.5
3799,44:02.3,60,10.8,336.2
3800,44:16.3,60,-5,337.1
3801,44:31.0,60,-6.1,337.1
3802,44:44.4,60,12.5,336.1
3803,44:58.2,60,6.1,336.3
3804,45:13.3,60,27.4,335
3805,45:27.2,59.5,18.5,335.2
3806,45:41.2,59.5,10.8,335.6
3807,45:55.1,59.5,6.4,335.9
3808,46:08.8,59.5,4,336.1
3809,53:11.5,59.5,1.9,336.7
3810,53:19.0,59.5,4.1,336.5
3811,53:26.5,59.5,4,336.5
3812,53:34.1,59.5,3.9,336.5
3813,53:41.6,59.5,6,336.4
3814,53:49.0,59.5,8,336.1
3815,53:56.5,59.5,4.2,336.3
3816,54:04.1,59.5,3.5,336.3
3817,54:11.6,59.5,3.9,336.3
3818,54:19.1,59.5,4,336.3
3819,54:32.8,59.5,3.8,336.3
3820,54:46.9,59.5,4,336.3
3821,55:00.9,59.5,3.9,336.3
3822,55:14.8,59.5,3.2,336.4
3823,55:30.1,59.5,3.7,336.3
3824,55:37.7,59.5,29.7,334.9
3825,55:45.2,59.5,5.3,336.1
3826,55:52.7,59.5,21.1,335.2
3827,56:00.2,59.5,1.9,336.2
3828,56:07.9,59.5,28.8,334.9
3829,56:15.7,59.5,3.6,336.1
3830,56:23.4,59.5,16.5,335.4
3831,56:30.7,59.5,3.7,336
3832,56:38.2,59.5,28.6,334.2
3833,56:45.8,59,9.6,335.2
3834,56:53.3,59,-42,338.3
3835,57:00.9,59.5,3.5,336
3836,57:08.8,59,3.7,336
3837,57:16.3,59,4.2,335.9
3838,57:23.8,59,3.5,335.9
3839,57:31.3,59,3.4,336
3840,57:39.3,59,3.6,336
3841,57:46.8,59,42.5,334
3842,57:54.3,59,18.9,334.8
3843,58:01.8,59,-12.7,336.7
3844,58:09.3,59,3.3,335.9
3845,58:16.9,59,3.2,335.9
3846,58:24.3,59,3.2,335.9
3847,58:33.3,59,3.4,335.9
3848,58:40.9,59,3.5,335.9
3849,58:48.4,59,3.4,335.9
3850,58:56.1,59,3.3,335.9
3851,59:05.7,59,3.5,335.9
3852,59:13.4,59,4.2,335.8
3853,59:21.1,59,56.8,333
3854,59:29.1,59,31,334
3855,59:36.6,59,-34.6,337.5
3856,59:44.4,59,-4.6,336.4
3857,59:52.1,59,31.4,334.1
3858,00:00.2,59,-3.8,336.1
3859,00:15.2,59,-3.8,336.1
3860,00:15.2,59,-3.8,336.1
3861,00:20.5,59,24.7,334.7
3862,00:28.2,59,16.5,335.1
3863,00:35.5,59,-23.9,336.6
3864,00:43.3,59,16.9,335
3865,00:51.0,58.5,93.7,330.2
3866,00:58.5,58.5,44.3,332.5
3867,01:06.2,58.5,25.6,333.8
3868,01:14.5,58.5,55.7,331.8
3869,01:23.0,58.5,11.2,333.8
3870,01:30.5,58.5,26,333.3
3871,01:38.1,58.5,5.7,334.8
3872,01:45.6,58.5,4,334.5
3873,01:53.6,58.5,33,333.3
3874,02:01.1,58.5,-16.1,335.5
3875,02:08.6,58.5,39.4,333.3
3876,02:16.1,58.5,-42.6,337.2
3877,02:29.8,58.5,10,335
3878,02:43.7,58.5,47.5,332.6
3879,02:57.3,58,16,333.8
3880,03:11.4,58,22.4,333.6
3881,03:25.4,58,37.7,332.6
3882,03:39.5,58,14.2,334
3883,03:53.6,58,0.6,334.9
3884,04:07.3,58,28.3,333.2
3885,04:21.5,58,32,332.8
3886,04:40.5,58,19.5,333.7
3887,04:54.5,57.5,19.7,333.4
3888,05:08.7,57.5,0.5,334.2
3889,05:22.4,57.5,7.9,333.8
3890,05:35.9,57.5,17.4,333.4
3891,05:50.1,57.5,13.3,333.7
3892,06:02.0,57,34,331.6
3893,06:09.8,57,35,331.5
3894,06:17.4,57,1.5,333.1
3895,06:24.9,57,16.3,332.7
3896,06:32.3,57,13.3,332.8
3897,06:42.2,57,20.5,332.8
3898,06:49.8,57,56.2,330.4
3899,06:57.3,57,12.6,332.5
3900,07:04.9,57,22.3,332.4
3901,07:12.4,57,14.7,332.5
3902,07:19.9,56.5,16.3,332.4
3903,07:27.6,56.5,22.3,332.3
3904,07:36.4,56.5,70.7,329.5
3905,07:43.9,56.5,36.1,331.1
3906,07:58.7,56.5,-23.6,334.5
3907,07:58.7,56.5,-23.6,334.5
3908,08:02.9,56.5,34.6,332.2
3909,08:10.5,56.5,50.6,331.2
3910,08:17.9,56.5,40.2,331.3
3911,08:25.7,56.5,50,330.8
3912,08:32.9,56.5,31.9,331.3
3913,08:40.5,56.5,26.3,331.7
3914,08:48.0,56.5,-73.8,337
3915,08:55.5,56.5,54.9,330.8
3916,09:03.0,56.5,21.7,332.1
3917,09:10.4,56.5,-60.8,336.7
3918,09:18.0,56.5,-37.4,336.3
3919,09:25.5,56.5,105.2,328.6
3920,09:33.0,56.5,8.4,333.5
3921,09:40.5,56.5,32.4,332.3
3922,09:48.1,56.5,24,332.7
3923,09:56.1,56.5,21.7,332.7
3924,10:03.8,56.5,-5.7,334.2
3925,10:11.6,56.5,11.1,333.3
3926,10:19.6,56.5,3.1,333.7
3927,10:27.1,56.5,2.6,333.7
3928,10:34.5,56.5,4.1,333.7
3929,10:42.0,56,3.5,333.7
3930,10:49.6,56,2.6,333.7
3931,10:57.1,56,2.4,333.7
3932,11:04.6,56,2.7,333.7
3933,11:12.1,56,2.6,333.8
3934,11:19.7,56,2.6,333.8
3935,11:27.1,56,6.2,333.6
3936,11:34.6,56,3,333.7
3937,11:42.1,56,0.6,333.8
3938,11:50.1,56,6,333.5
3939,11:57.7,56,5.2,333.6
3940,12:05.2,56,4.2,333.6
3941,12:12.7,56,3.7,333.7
3942,12:20.4,56,3.8,333.6
3943,12:27.9,56,4.2,333.6
3944,12:35.2,56,5.5,333.5
3945,12:43.0,56,5.4,333.5
3946,12:51.0,56,8.1,333.3
3947,12:59.3,56,3.3,333.7
3948,13:07.3,56,3,333.6
3949,13:15.1,56,2.9,333.7
3950,13:23.6,56,8.1,333.2
3951,13:32.8,56,0.4,333.7
3952,13:40.3,56,-11.4,334.3
3953,13:48.0,56,4.1,333.5
3954,13:55.9,56,63.4,330.1
3955,14:03.3,56,35.9,331.2
3956,14:11.3,56,33.9,331.1
3957,14:18.8,56,25.6,331.6
3958,14:26.3,55.5,-17.5,333.7
3959,14:33.8,55.5,15.2,332.3
3960,14:41.3,55.5,-26.6,334.5
3961,14:48.9,56,-29.3,335.1
3962,14:56.4,56,2.3,333.5
3963,15:03.8,56,2.3,333.5
3964,15:11.3,56,2.3,333.5
3965,15:18.8,56,2.3,333.5
3966,15:26.4,56,12.1,333
3967,15:33.9,55.5,14.6,332.5
3968,15:41.4,55.5,25.9,331.5
3969,15:49.1,55.5,-1.2,332.9
3970,15:56.4,55.5,9.5,333.1
3971,16:06.3,55.5,67.3,329.4
3972,16:14.3,55.5,6.6,331.8
3973,16:22.4,55.5,-16.4,333.8
3974,16:30.1,55.5,-53,335.9
3975,16:38.0,55.5,-5.9,334.2
3976,16:45.6,55.5,67.4,329.9
3977,16:53.7,55.5,48.8,330.5
3978,17:01.9,55.5,11.1,332.2
3979,17:10.8,55.5,36.1,330.9
3980,17:18.7,55,-28.1,334.1
3981,17:26.9,55,-39.3,334.8
3982,17:31.4,55,-39.3,334.8
3983,17:38.2,55,0.7,332.8
3984,17:45.5,55,-2.6,333.3
3985,17:53.0,55,-28.4,334.8
3986,18:00.6,55.5,14.6,332.6
3987,18:08.1,55,32.8,331.3
3988,18:15.6,55,-42.1,335.3
3989,18:23.3,55,-18.7,334.4
