,time,soc,curr,volt
148,52:59.4,78,3.2,354.1
149,53:08.0,78,3.1,353.8
150,53:15.2,78,3.1,354.1
151,53:22.8,78,3.1,354.1
152,53:30.3,78,2.3,354.1
153,53:38.0,78,2.3,354.2
154,53:51.2,78,3,353.8
155,53:58.8,78,3.2,354.2
156,54:06.3,78,3.3,353.8
157,54:14.1,78,2.7,354.1
158,54:21.3,78,32.9,352.6
159,54:28.9,77.5,135.1,346.4
160,54:38.4,77.5,23,351.2
161,54:48.7,77.5,48.5,350.1
162,54:56.4,77.5,17.7,351.7
163,55:03.9,77.5,41.1,350
164,55:11.6,77.5,10.3,351.8
165,55:19.4,77.5,39.7,350.5
166,55:27.3,77.5,4,352.3
167,55:35.1,77.5,-99.3,358.7
168,55:42.9,77.5,3.4,353.6
169,55:50.4,77.5,3.9,353.7
170,55:57.9,77.5,2.4,353.6
171,56:05.4,77.5,3.1,353.6
172,56:13.0,77.5,3.2,353.6
173,56:20.5,77.5,3.1,353.3
174,56:28.0,77.5,3.8,353.6
175,56:35.7,77.5,5.4,353.5
176,56:43.7,77.5,4,353.6
177,56:51.6,77.5,44.3,351.2
178,56:59.3,77.5,74,349.1
179,57:08.0,77,-15.3,354.1
180,57:15.5,77,-17.2,353.7
181,57:23.0,77,92.6,348.2
182,57:30.5,77,47.8,350.9
183,57:38.0,77,35.7,351.2
184,57:46.2,77,33.5,351.3
185,57:53.8,77,9.3,352.4
186,58:01.7,77,10.6,353.1
187,58:09.4,77,-6.2,353.8
188,58:17.4,77,-8,353.9
189,58:25.3,77,39.2,351.5
190,58:32.5,77,0.5,353.4
191,58:46.2,77,3.5,353.3
192,59:00.3,77,12.2,352.6
193,59:14.3,77,5.2,353.2
194,59:28.4,77,3.4,353.2
195,08:16.6,77,1.8,353.8
196,08:30.5,77,2.6,353.7
197,08:48.6,77,3.2,353.7
198,09:02.3,77,16.9,352.8
199,09:16.4,77,1.9,353.5
200,09:31.7,77,9.4,353.1
201,09:45.5,77,14.8,352.5
202,09:53.2,77,-27,354.6
203,10:00.7,77,59.9,349.5
204,10:09.8,77,96.9,347.2
205,10:17.8,77,-10.8,354
206,10:25.8,77,3.6,352.8
207,10:34.1,76.5,2.9,352.4
208,10:42.1,77,-28.7,354.9
209,10:51.1,77,2.6,353.1
210,10:59.9,77,2.6,353.1
211,11:10.6,77,2.7,352.9
212,11:18.6,77,2.7,353.1
213,11:26.4,76.5,83.7,348.3
214,11:34.0,76.5,-67.1,356.2
215,11:41.9,76.5,2.7,353.1
216,11:49.6,76.5,2.5,353
217,11:57.5,76.5,3.4,353
218,12:05.5,76.5,2.6,352.7
219,12:13.4,76.5,3.4,353
220,12:20.9,76.5,3.4,353
221,12:28.4,76.5,3.2,353
222,12:36.0,76.5,2.5,353
223,12:43.5,76.5,3.4,352.7
224,12:50.9,76.5,3.3,353
225,12:58.4,76.5,4,352.7
226,13:06.0,76.5,3.6,353
227,13:13.5,76.5,24.3,351.5
228,13:21.0,76.5,98.9,346.5
229,13:28.9,76.5,16.5,350.7
230,13:37.0,76.5,-89.8,356.8
231,13:44.5,76.5,-13.6,354.1
232,13:52.0,76.5,-47.2,355
233,14:00.4,76.5,12,351.3
234,14:08.9,76.5,-3.4,352.3
